Negative 	 Enna da ellam avan seyal  Mari iruku
Mixed_feelings 	 Late ta vanthalum sure shot ta adikanum.. Nan padatha sonnen... Thalaivar sema mass
Mixed_feelings 	 2000 crore fix 2000-500=1500 crore ka profit🤑
Positive 	 Indian cinima in next level  #ARR #sankar #Rajini
Positive 	 Wish u to  Surya Anna fanse
Negative 	 First mobile akshay pudinganathe shivakumar sir oda phone dhaan.. Adha edit pannitaanga.. Anti mobilians
unknown_state 	 Otha theatre la paaka poravana nenacha daan paavama irku...ommala sound la thala vedichi sethuruvaan ila...kadha kekama poirum kandipa
Negative 	 Intha age la ipudi act panna mudiuma omg
not-Tamil 	 Hitt like button  for. Hindi. Trailer #2.0#hinditrailer
Positive 	 Avaru coloura parya,avaru nadaya parra,avaru styla parya
Mixed_feelings 	 Ithuku thaana sivakumar cell phone a thatti vittaru
Positive 	 Cast rajini nu pathil vera yarachum pannirukalam
Negative 	 Vera level trailer..... Thalaivaaaaaaa waiting
Negative 	 itna ghatiya hai trailar lag raha hai  ko tv serial dekh rahe hai thu hai aise trailar par
Positive 	 Apppapa mudiala pa... extended teaser ...Shankar big flop
Positive 	 Padathula vfx irruka?? - padamey Vfx ah irrukuda
Negative 	 Dai ithu paka Telugu pada trailer dubbing pana Mari iruku da
Negative 	 Ore time la 2,3sotting powaru pola
not-Tamil 	 Anna Telugu loo kuda thiyandii anna
Positive 	 Supr trailer machha semma mass eriku  I'm from Karnataka
Negative 	 Ippe likes ku pitchai edutu sila potte nayinge varunggele
unknown_state 	 Enada ellam Telugu audience comments.a iruku
Positive 	 Wow mass trailer in sanga tamizhan
Positive 	 Trouble treat makkal selvan fans like it
Positive 	 Pakka Mass daa. Die Hard fans from Telugu. Superb Abba..
unknown_state 	 Sangathamilanin unmaiyana ovvoru rashanum like pannu
unknown_state 	 Diwali release na semmaya irukkum..
Negative 	 Sethu sir eppadi padam panna aalu ippadi vanthu yulutingala..
Positive 	 Anna ne epomay varaa level naaa...
Mixed_feelings 	 Vijay sethupathi annaku nadipu but dance..🤔🤔
Negative 	 Padathuku Mokkai Director u ena nadaka poguthu
Mixed_feelings 	 Kandipa padam flop reason soori 🤣🤣🤣and the great villan pakara apo ve sema bayama iruku
Positive 	 Blue sattai review semmaiya irukkum
Positive 	 Sethupathikku aduthu sema action block irukku
Positive 	 11 hours 1m views on 67 like mass
unknown_state 	 Iron man fans dis like podunga intha vidio kku
Negative 	 Enaku enamo ella kadhaiyum kalandha madhiri oru feeling
Positive 	 My chellakutty always mass  love u VSP
Positive 	 All the best from karnataka king D BOSS Fans
Positive 	 Vijay sethupathi anna semma mass unga voiceku na adimy bro melum ungaludaya movie vettriyadiya valthukkal
unknown_state 	 Please depavali release pannunga familya Vara semiya erukum
unknown_state 	 neee thepavaliki thalapathy kuda vara namakida un  mass edipadathu mapulla
Mixed_feelings 	 Hope it is not Rekka 2
Negative 	 intha voice a kettale ore kaduppahudhu
Mixed_feelings 	 Innoru mokka masala paadama . Yenda ??? Sethupathi mathiri Oru padam edupan partha Rekka mathiri edukuranuga
unknown_state 	 R A A S H I K H A N N A
unknown_state 	 Nxt farmers script blue sattai Maran
unknown_state 	 Vijay sethupathi sir Iam big fan telangana plz release in telugu
Negative 	 Enga Anna varurua Ella uthkittu enga ana Vijay setepathei
unknown_state 	 Same.vjs fans pakka like podranghalo elliyo .nalla manasu erukurongho pottave podho. Padamu theater le poi paarungho rombooooooo nalladhu
Negative 	 Tamil cinema la itha vida pudhu storyline Vera ethuvum kidayathu
Mixed_feelings 	 Vijay Sethupathi ku action set aagadhu..paapom...
Mixed_feelings 	 Nalatha iruku... Aana dhool movie koncham varuthu... Parpomm
Positive 	 Paaa mass Makkalselvan...Epudi ungala pakkaa thn asapadrom
Positive 	 Nalla irukku trailer Semmma dialog delivery Makkal Selva  Waiting for uu
Negative 	 Bgm evanda pottadhu dsp paiyana irupaan pola veenaponavan
unknown_state 	 Y not setupati all new movies telghu dubbed
Negative 	 Ivaru ipadiye nadicharuna veetuku poga vendiyathan Nala story la nadichatha vj
Positive 	 Kamala song sema . Video vitingna jolly ah poiruven
Positive 	 Superb  Vivek Mervin pinnitinga ponga... Ungalukagave padam pakanum
Mixed_feelings 	 Bigil avathu mairavathu book pandra Sanga tamizhan.. Trailer and VJS dialouges Bangam
unknown_state 	 Vaa Thala vaa Thala vaa Thala I'm Waiting
Negative 	 Adenna da ellarum gramatta kappatardu vyavasayatta kapthrennnu
Negative 	 VJ's unaku thaan dance varalala.... makka kelanguthappa- oda niruthika vendiythu thane.....
Negative 	 Trailer looks like rekka & junga. Expecting more from makkal selvan...
unknown_state 	 I feel its a dual role
unknown_state 	 Will blockbuster Yes - Like  No - Comment
Positive 	 Make up konjam kooda illa but semma mass vj anna
Positive 	 Same to bro  fast a kathkkuvoo
Negative 	 Ada poonga bass.  Kaathu valikuthu
not-Tamil 	 నాకిష్టమైన తమిళ హీరో విజయ్ సేతుపతి సార్ ఫ్యాన్ ఆఫ్ తమిళ్ మూవీ
Negative 	 Nallave illa.....  ipd over ah panni panni tha ippo vijay sethu pathi romba keela vantaru
unknown_state 	 Ennangada cmnt full ah ...matha state aalunga tha irukkangavjs
Mixed_feelings 	 Rekka part 2 va illama irundha, மகிழ்ச்சி
Positive 	 Sethupathi padam pakkum pothu irutha mass scenes niyabagam varudhu
Negative 	 Padam peru #Sangathamizhan Producer yaru na #BharathiREDDY :/  What an irony!
Positive 	 Vera lvl sethu Anna dialogue  maranaaa mass eagerly waiting
Positive 	 Neega Vena mass ah irukalam aana en mass Enna nu theriyathula October la katren  Super thala
Negative 	 Kamarajar ayya va tholvi adaiya vaitha tamilnadu thana ongkaluku last vara oru nalla thalaivar kuda vara mattan da
Positive 	 Padam Vera level vetri pera vaazhthukkal
Positive 	 Mass Vjs... Veere veere level
Positive 	 Intro dialogue vsp Anna Ku Correct Aana dialogue
Positive 	 ura mass Jai  Vijay sethupathi
Positive 	 Eva vera ana vona ponnuga manasunla ninukura/ after watching kapaan movie
Positive 	 Like rekka.. Namma veetu Pillai .kuda vidalam.. Mass ah irukum
Negative 	 Innum evlo varusam daan idey concept tamil cinema le varumo
Mixed_feelings 	 Saguni padam madhiri theriudhu,soori irukkuradha pardha romba bayama irukkudhu
Mixed_feelings 	 Sundra pandiyan la paatha maaariyae illa
Positive 	 i am Chiranjeevi sir big fan but vijai sir acting I like
Mixed_feelings 	 Vijay sethupathi anna oru katathula tharamana padangal kuduthingaa ippo mass films kudukarangra perula mokka padamaa kudukiringaaa
Negative 	 Soori erkapla vera lvl ah erkum pola 🤣
unknown_state 	 thambi mela irukkanavum,keela oru naal varuvaan.....
Mixed_feelings 	 evolo nal achu indha mari mass dialogue oda padam pathu.. orae bayam suri mattum
unknown_state 	 Ini jenmathhuku meethane, hydrocarbon pathhi nenachi kooda paaka mudiyaadhu corporates.. Ela padamum ini adhapathi daan..
Positive 	 I’m from kannadigaa u r Big fan sir
Negative 	 Ayyayoo Suri innum sami2 singam3 Mari comedy panraare
Mixed_feelings 	 Knjam body maintain panna...inum nalla iruparu...
Mixed_feelings 	 It's looks like Ramayya vastavayya telugu movie 🤔🤔🤔🤔🤔🤔🤔🤔🤔
Positive 	 Unga mass epavume vera level ji...
Positive 	 Vivek -Mervin very hard working this movie     Makkal selven kerala fans like
unknown_state 	 Thairiyama dewali Ku va thalaiva  nanga irukom irupom 🤗
Positive 	 semma mass super  I am waiting
unknown_state 	 Thairiyama dewali Ku va thalaiva  nanga irukom irupom 🤗
unknown_state 	 Looks likes sethupathy 2 waiting movie mass sa erukanum vjs naa
Mixed_feelings 	 Rekka mathiri illa tha irutha k
Negative 	 Soori comedy panranu yedho pannitu irukan
Negative 	 Vaanga thambi #Vivasayam padam ah vanthu token onnu pottukonga  Innum evlo Peru da padathula mattum vivasayatha kapathuvinga
unknown_state 	 Keela avlo Peru irunthum epdi da mela vantha...  VJS: Atha keela irukavanta kelu da
Positive 	 I love you sir. I'm big fan for you.
Negative 	 Mass hero subject unaku set avathu kumaru, hayoo
Negative 	 Dai kadaseela indha alaiyum massu engra perula kaaa koo aakiteengala
Positive 	 Maranam mass maranam athuku Makkal selvan ta varanum
Positive 	 Apppa romba nalaiku apram  annanoda hit movie pakka porom
Mixed_feelings 	 Enaku ennamo dhool padam pola iruku....
not-Tamil 	 Hindi me Upload Karo Bhai Ea movie ke
unknown_state 	 I think double role irukum nu nenaikuraen
Positive 	 R u a virgin? Vera level dialogue thala
Positive 	 467k views 428k likes   Power of THALA Ajith
Negative 	 Enda trailer ah 35000. Potta pasanga (dislike pannavanunga) kuda parthurukanga.
Positive 	 Intha padathil don alleyaaa..ith enna mayam
Positive 	 Thala mass - yuvan BGM mass
Positive 	 Nanba rangaraj pandey unnai velli thiraiyil kanpatharku aavalootu ĶHATHU irukkireen pls nanba    Neer konda paarvai
Positive 	 Semma thala oruther meala neega viswasam katrathukkaga innoruthara yen neega asingam paduthuringa.... Semma thala .
Positive 	 any telugu guys  jai ajith.....sema masss da
Positive 	 Oruthar mela neenga vishvasam katrathukaga Innoruthara asinga paduthathinga....DC 2 All fans....mass thala
not-Tamil 	 Pink movie ki copy hai .....
Positive 	 467k views 432 likes love you thala
Positive 	 1:55 to 2:00 vera level dialouge
Positive 	 Rangaraj pandey sir fans like here
Positive 	 Superb.. thala mass... i am waiting...
Positive 	 Evanda intha trailer ku unlike pannathu thu....
Positive 	 Enna frndz trailer views update aagamatikathu...nane 20 time pathuten...yellorum adichu thooki millions kanakka views therikka vidunga...
Positive 	 Yuvan sankar raja bgm pullarikithu vera level
Positive 	 எதுவுமே புரியல       Edited : movie Vera level nu matu purithu
Positive 	 Appadaaa... Oru wela Thala Fans Siva kita irundu thappichitanga.. 🤣🤣🤣🤣
Positive 	 Neraya neraya neraya wait seiram thala
Positive 	 Oruththar Mela neenga #viswasam kaatradhukkaga innoruththara en asinga paduththuringa!  #verithanamanawaiting Hit like for repeat mode!
Positive 	 Super trailer,Ajith kumarfrom Darshan(Dboss) fans karnataka🤘
Positive 	 Ahaaaaaa....thala ya  ..ipdi 1u character la pathadhe ilaye bayangaram ah irukare
Positive 	 Thala and Yuvan => Mega Mass !
Positive 	 movie mokka etha movie ya copy adushamari erukku
Positive 	 Ajithuku vakkil getup and argument pandrathellam set agathu.....
Positive 	 Dai yaaru da antha 36k? apadi enna da enga thala mela ungaluku Gaandu?!
Positive 	 Pondey va pathu yaar yaar shock aninga
Positive 	 Unmai aana Thala fana irundha like pannunga
Positive 	 Pudhiya thalaimurai TV pandey maathiri irukku
Positive 	 Vena padama release pannathinga pakka mudiyala
Positive 	 But in Youtubela trending agala  Atha ennaku kastama iruku
Positive 	 Dei yeppudi paththalum ithu PINK remake dhane
Positive 	 Remake of Pink awesome movie
Positive 	 Marana waiting Thala  Super Thala  mass Thala
Positive 	 #UltimateStar - Thala vera vera vera level #NERKONDAPAARVAI
Positive 	 Mr. Ajith looks so good I miss Sridevi mam
Positive 	 Thala old get up la kuda superb
Positive 	 0:18 sec goosebumps start.... Thala superrrr......
Negative 	 It is dubbing in Telugu ?
Positive 	 Omg  Vera level ...last dailog omg awesome dis gone a next viral dailog in tiktok love from #Kuwait
Positive 	 Apdi la nadakathu Nadakavum kudathu (1.33)... Aphaaa veral level... Thalaiya rmb naal ku aprma kovama screen la pakran...
Mixed_feelings 	 Adae apdiye remake pannirukalaam la da yen da theva illama mass elements laam add panni story ah spoil panringa
Positive 	 Oruthar mela neenga viswasam katturathunala innoruthara yen asinga paduthuringa
Positive 	 #tha vera level thala va thala va va va
Positive 	 AJITH ONLY ONE AND ONLY INDIAN MOVIE HERO
Positive 	 Thala nee yeppavum vera level I love you
Positive 	 Ranga Raj panday sir action super
Positive 	 Pppaaaaa thala back to citizen Vibez
Positive 	 thala na mass . mathavanga ellam thala munnadi duss
Positive 	 Ajith ku set agala.. No mass scene
Positive 	 Orea adi antha sence semma mass
Mixed_feelings 	 Enna da inuma 470k va thandala
Positive 	 Thala parvai... Eppothum Nerkonda parvai...
Positive 	 Woooooooww New Thalaaa semmmmma maas 🤗
Positive 	 Neriya neriya neriya neriya neriya neriya neriya neriya neriya neriya neriya neriya neriya neriya neriya neriya neriya
Positive 	 Matha movie vida super ahh erukum nunanaikaren..
Negative 	 kotha un padam wast da mokka da
Positive 	 Pink Trailer Vs Nerkonda Paarvai Trailer
Positive 	 Rangaraj pandey I am weit ing
Positive 	 Vaa thala vaa thala. Last dialogue semma.
Positive 	 Aiyooooooooooo SEMA thala love you always
Positive 	 #THALA Marana Maasss... #YUVAN Bgm Therikkuthu...  #VINOTH Vera level....
Positive 	 Thalaaa mass look but pink movie laaaa fight illaaa but thalaaaa ithulaaaa semaaaa mass ooo masss
Positive 	 Ajith Sir semma  By thalapathy makkal iyakam  Rasipuram
Positive 	 Enna ya intha la oru sentiment scene onnu kuda illa  pappom.....
Positive 	 Ama vadivela en da asingam paduthuringa
Positive 	 467k va thanda matinguthu aana likes matum aathigam aakuthu
Positive 	 Thala   Thala  Thala  தல  தல  தல
Positive 	 1 million likes and 1 minnlllskao views
Positive 	 Oruthar mele neenga viswasam kaaturthukaga innoruthare en asingam paduthuringe
Positive 	 Thala rasigan endru solleda...thalai nimirndhu nilladha...
Positive 	 My real god in my life
Positive 	 Simple..... Life all time favorite thalaaaaaaaaaa
Positive 	 Ithukku peru nerkonda paarvaiya dei dei kollatheengada pink copy nu vaingada crt ah irukkum 🤣🤣🤣
Positive 	 Superb thala frm pavan Kalyan fans
Positive 	 Thala takkkkaer doiiii... Thala daaa..... Masss thala... Vera level thala.... Love u thala
Positive 	 Oruthar mela Viswasam kaatrathukkaga..innoruthara yen Asinga Paduthuringa?? #Thala #Thalabathy #Fans #Fight
Positive 	 Trailer la Vidya Balan missing.... Why?
Positive 	 ajith sir fans lam like pannunga
Positive 	 thala nenga endha marri nadichlum nenga thala thaan buy thala veriyan
Positive 	 Groupla statusla Link ah Share pannunga Nanba And Nanbieea seekro 1m Target vakkanum pllsss share him
Positive 	 Please dub in kannada language also
Positive 	 Earphone la U1 Bgm kekum pothu Vera level
Positive 	 467k views one hour mela change aagamale iruku something happened?
Positive 	 Sema last line than marama masss
Positive 	 Namba pasanga mass kattitanga crash agi trailer nikuthu
Positive 	 Vere level Anna from telugu fan
Positive 	 It looks like remake of pink
Positive 	 1:36 pahhh... Vere level! Repeat panni paathaven ellam like pode! #thaledaa! #thale
Positive 	 Thala veriyans intha video vaa paruga
Positive 	 Romba nerama views hang ayi apdiye 467k laye iruku... Seekiram million views vandhrum Pola
Negative 	 aiyo aiyeyoo camedi panatenga thala haha itu verey levelam thala fan solitu theriyurantge hahah wait panungadaa thalapathy taesser vantha parunga
Positive 	 Speed up guys Likes ah therikka vidunga
Positive 	 Thala fans enti active ga leru....
Positive 	 12 min munadi 318k likes irundhuchu.. Ipo 414k likes irukuThala Gethu Mass look
Positive 	 Thala massss nee vaa thala semma verithanam
Positive 	 Rangaraj Pandey Ku oru like podunga
Positive 	 Kadisi varaikum epadi yenda white hair la katuringa avaruku avalo onum vayasu hagalaye...
Positive 	 Thala movie name is Very Mikkai
Negative 	 Rajani sir nd prabas Fan's like here
Negative 	 Super trailer . Hit aga podu target 3M likes
Negative 	 Paakuradhuku cartoon maadhiri iruku nu solravangallaa...indha padatha 3D la paathutu vaai paesunga
Negative 	 comment padikka vandhavanga like pennungal
Positive 	 Zero is best 39m views in just 18 hrs
Negative 	 vera level maperum vetri  ataya congratulations
Negative 	 Super trailer. Dislike kottina vallantha Donkeys
Positive 	 Theri theri theri theri thalaivaaa . Semma semma semma semma semma semma semma
Negative 	 ithu veraleval Sankar saruku innum vulakame tamil cinimava thirumbi parkanum
Positive 	 Semmmmma...  Thara massuuu....  Rajini sir fans hit like + 2.0 likers???
Positive 	 E ka Bawasir Bana Diye ho
Positive 	 2:00 vaseekaran turns into akshay kumar
Negative 	 Naa cartoon pakke poren pogeda
Mixed_feelings 	 ARTHASHASTRAM UNGA VAZHY,  DHARMASHASTRAM ENN VAZHY
Positive 	 Enga Tamil  layum bramanda movies eduka all iruku da
Negative 	 Trailer final shot bayangrama iruku
Negative 	 Irukku namakku vera level enjoyment irukku  Trailer eh summa therikka viduthu
Mixed_feelings 	 Shakti maaaaaan. sankarji vazhangum Sakthi man 2.0. . Ondru Hollywood tharathukku meala illa atharku nikaraanatha irukanum.
Positive 	 Katta waiting 2.0   shankar magic
Positive 	 Nice
Positive 	 Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa
not-Tamil 	 Ek dum tatti trailer, bilkul billi ne haga hoo patla wala waisi or gandu log ye chatne bhi jayenge.
Positive 	 Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa
Positive 	 Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa
Negative 	 Vijay WON NO RECORD BROKEN BY 2.0 TRAILER
Negative 	 I see like video game effects
Positive 	 Thalaivar ennaikume vera levell tha... thalaivaaa ......
Positive 	 Enna ji trailer keta kadhaiavae sollitingha
